,index,time,value,value_list,status,rep,protocol,number,decimal
857,1305,1705345157219355700,rec_dec_4_bin_100_p_10,"['rec', 'dec', '4', 'bin', '100', 'p', '10']",rec,9,10,100,4
858,1306,1705345157243033500,rec_dec_4_bin_100_p_10,"['rec', 'dec', '4', 'bin', '100', 'p', '10']",rec,9,10,100,4
859,1307,1705345157750234900,send_rep_9_p_10_s_111,"['send', 'rep', '9', 'p', '10', 's', '111']",send,9,10,111,
860,1308,1705345157783977200,rec_dec_7_bin_111_p_10,"['rec', 'dec', '7', 'bin', '111', 'p', '10']",rec,9,10,111,7
861,1309,1705345157808720700,rec_dec_7_bin_111_p_10,"['rec', 'dec', '7', 'bin', '111', 'p', '10']",rec,9,10,111,7
862,1310,1705345157837887600,rec_dec_7_bin_111_p_10,"['rec', 'dec', '7', 'bin', '111', 'p', '10']",rec,9,10,111,7
863,1311,1705345157862531000,rec_dec_7_bin_111_p_10,"['rec', 'dec', '7', 'bin', '111', 'p', '10']",rec,9,10,111,7
864,1312,1705345158371875800,send_rep_9_p_11_s_00100101100010010110,"['send', 'rep', '9', 'p', '11', 's', '00100101100010010110']",send,9,11,00100101100010010110,
865,1313,1705345158431412700,rec_dec_153750_bin_00100101100010010110_p_11,"['rec', 'dec', '153750', 'bin', '00100101100010010110', 'p', '11']",rec,9,11,00100101100010010110,153750
866,1314,1705345158485239800,rec_dec_153750_bin_00100101100010010110_p_11,"['rec', 'dec', '153750', 'bin', '00100101100010010110', 'p', '11']",rec,9,11,00100101100010010110,153750
867,1315,1705345158537888200,rec_dec_153750_bin_00100101100010010110_p_11,"['rec', 'dec', '153750', 'bin', '00100101100010010110', 'p', '11']",rec,9,11,00100101100010010110,153750
868,1316,1705345158591328600,rec_dec_153750_bin_00100101100010010110_p_11,"['rec', 'dec', '153750', 'bin', '00100101100010010110', 'p', '11']",rec,9,11,00100101100010010110,153750
869,1317,1705345159125613700,send_rep_9_p_11_s_01000001011001000110000101101101,"['send', 'rep', '9', 'p', '11', 's', '01000001011001000110000101101101']",send,9,11,01000001011001000110000101101101,
870,1318,1705345159209521400,rec_dec_1097097581_bin_01000001011001000110000101101101_p_11,"['rec', 'dec', '1097097581', 'bin', '01000001011001000110000101101101', 'p', '11']",rec,9,11,01000001011001000110000101101101,1097097581
871,1319,1705345159283143800,rec_dec_1097097581_bin_01000001011001000110000101101101_p_11,"['rec', 'dec', '1097097581', 'bin', '01000001011001000110000101101101', 'p', '11']",rec,9,11,01000001011001000110000101101101,1097097581
872,1320,1705345159356825600,rec_dec_1097097581_bin_01000001011001000110000101101101_p_11,"['rec', 'dec', '1097097581', 'bin', '01000001011001000110000101101101', 'p', '11']",rec,9,11,01000001011001000110000101101101,1097097581
873,1321,1705345159431390800,rec_dec_1097097581_bin_01000001011001000110000101101101_p_11,"['rec', 'dec', '1097097581', 'bin', '01000001011001000110000101101101', 'p', '11']",rec,9,11,01000001011001000110000101101101,1097097581
874,1322,1705345159928701700,send_rep_9_p_11_s_100,"['send', 'rep', '9', 'p', '11', 's', '100']",send,9,11,100,
875,1323,1705345159992176900,rec_dec_4_bin_100_p_11,"['rec', 'dec', '4', 'bin', '100', 'p', '11']",rec,9,11,100,4
876,1324,1705345160016239700,rec_dec_4_bin_100_p_11,"['rec', 'dec', '4', 'bin', '100', 'p', '11']",rec,9,11,100,4
877,1325,1705345160041617400,rec_dec_4_bin_100_p_11,"['rec', 'dec', '4', 'bin', '100', 'p', '11']",rec,9,11,100,4
878,1326,1705345160539407000,send_rep_9_p_11_s_111,"['send', 'rep', '9', 'p', '11', 's', '111']",send,9,11,111,
879,1327,1705345161174247400,send_rep_9_p_12_s_00100101100010010110,"['send', 'rep', '9', 'p', '12', 's', '00100101100010010110']",send,9,12,00100101100010010110,
880,1328,1705345161242181500,rec_dec_153750_bin_00100101100010010110_p_11,"['rec', 'dec', '153750', 'bin', '00100101100010010110', 'p', '11']",rec,9,11,00100101100010010110,153750
881,1329,1705345161307130800,rec_dec_153750_bin_00100101100010010110_p_11,"['rec', 'dec', '153750', 'bin', '00100101100010010110', 'p', '11']",rec,9,11,00100101100010010110,153750
882,1330,1705345161368580700,rec_dec_153750_bin_00100101100010010110_p_11,"['rec', 'dec', '153750', 'bin', '00100101100010010110', 'p', '11']",rec,9,11,00100101100010010110,153750
883,1331,1705345161433840100,rec_dec_153750_bin_00100101100010010110_p_11,"['rec', 'dec', '153750', 'bin', '00100101100010010110', 'p', '11']",rec,9,11,00100101100010010110,153750
884,1332,1705345161969164100,send_rep_9_p_12_s_01000001011001000110000101101101,"['send', 'rep', '9', 'p', '12', 's', '01000001011001000110000101101101']",send,9,12,01000001011001000110000101101101,
885,1333,1705345162069000500,rec_dec_1097097581_bin_01000001011001000110000101101101_p_11,"['rec', 'dec', '1097097581', 'bin', '01000001011001000110000101101101', 'p', '11']",rec,9,11,01000001011001000110000101101101,1097097581
886,1334,1705345162154956500,rec_dec_1097097581_bin_01000001011001000110000101101101_p_11,"['rec', 'dec', '1097097581', 'bin', '01000001011001000110000101101101', 'p', '11']",rec,9,11,01000001011001000110000101101101,1097097581
887,1335,1705345162245619900,rec_dec_1097097581_bin_01000001011001000110000101101101_p_11,"['rec', 'dec', '1097097581', 'bin', '01000001011001000110000101101101', 'p', '11']",rec,9,11,01000001011001000110000101101101,1097097581
888,1336,1705345162331591500,rec_dec_1097097581_bin_01000001011001000110000101101101_p_11,"['rec', 'dec', '1097097581', 'bin', '01000001011001000110000101101101', 'p', '11']",rec,9,11,01000001011001000110000101101101,1097097581
889,1337,1705345162833545000,send_rep_9_p_12_s_100,"['send', 'rep', '9', 'p', '12', 's', '100']",send,9,12,100,
890,1338,1705345162896342000,rec_dec_4_bin_100_p_11,"['rec', 'dec', '4', 'bin', '100', 'p', '11']",rec,9,11,100,4
891,1339,1705345162924376400,rec_dec_4_bin_100_p_11,"['rec', 'dec', '4', 'bin', '100', 'p', '11']",rec,9,11,100,4
892,1340,1705345162953340800,rec_dec_4_bin_100_p_11,"['rec', 'dec', '4', 'bin', '100', 'p', '11']",rec,9,11,100,4
893,1341,1705345163468395200,send_rep_9_p_12_s_111,"['send', 'rep', '9', 'p', '12', 's', '111']",send,9,12,111,
894,1342,1705345163560143500,rec_dec_7_bin_111_p_11,"['rec', 'dec', '7', 'bin', '111', 'p', '11']",rec,9,11,111,7
895,1343,1705345163589217800,rec_dec_7_bin_111_p_11,"['rec', 'dec', '7', 'bin', '111', 'p', '11']",rec,9,11,111,7
896,1400,1705345202840616700,send_rep_1_p_1_s_00100101100010010110,"['send', 'rep', '1', 'p', '1', 's', '00100101100010010110']",send,1,1,00100101100010010110,
897,1401,1705345203393294500,send_rep_1_p_1_s_01000001011001000110000101101101,"['send', 'rep', '1', 'p', '1', 's', '01000001011001000110000101101101']",send,1,1,01000001011001000110000101101101,
898,1402,1705345203921504600,send_rep_1_p_1_s_100,"['send', 'rep', '1', 'p', '1', 's', '100']",send,1,1,100,
899,1403,1705345204437650200,send_rep_1_p_1_s_111,"['send', 'rep', '1', 'p', '1', 's', '111']",send,1,1,111,
900,1404,1705345204970662300,send_rep_1_p_2_s_00100101100010010110,"['send', 'rep', '1', 'p', '2', 's', '00100101100010010110']",send,1,2,00100101100010010110,
901,1405,1705345205531218100,send_rep_1_p_2_s_01000001011001000110000101101101,"['send', 'rep', '1', 'p', '2', 's', '01000001011001000110000101101101']",send,1,2,01000001011001000110000101101101,
902,1406,1705345206071859300,send_rep_1_p_2_s_100,"['send', 'rep', '1', 'p', '2', 's', '100']",send,1,2,100,
903,1407,1705345206587564500,send_rep_1_p_2_s_111,"['send', 'rep', '1', 'p', '2', 's', '111']",send,1,2,111,
904,1408,1705345207120866400,send_rep_1_p_3_s_00100101100010010110,"['send', 'rep', '1', 'p', '3', 's', '00100101100010010110']",send,1,3,00100101100010010110,
905,1409,1705345207673755200,send_rep_1_p_3_s_01000001011001000110000101101101,"['send', 'rep', '1', 'p', '3', 's', '01000001011001000110000101101101']",send,1,3,01000001011001000110000101101101,
906,1410,1705345208202425600,send_rep_1_p_3_s_100,"['send', 'rep', '1', 'p', '3', 's', '100']",send,1,3,100,
907,1411,1705345208717672700,send_rep_1_p_3_s_111,"['send', 'rep', '1', 'p', '3', 's', '111']",send,1,3,111,
908,1412,1705345209251138800,send_rep_1_p_4_s_00100101100010010110,"['send', 'rep', '1', 'p', '4', 's', '00100101100010010110']",send,1,4,00100101100010010110,
909,1413,1705345209800109200,send_rep_1_p_4_s_01000001011001000110000101101101,"['send', 'rep', '1', 'p', '4', 's', '01000001011001000110000101101101']",send,1,4,01000001011001000110000101101101,
910,1414,1705345210319514300,send_rep_1_p_4_s_100,"['send', 'rep', '1', 'p', '4', 's', '100']",send,1,4,100,
911,1415,1705345210827114000,send_rep_1_p_4_s_111,"['send', 'rep', '1', 'p', '4', 's', '111']",send,1,4,111,
912,1416,1705345211356195000,send_rep_1_p_5_s_00100101100010010110,"['send', 'rep', '1', 'p', '5', 's', '00100101100010010110']",send,1,5,00100101100010010110,
913,1417,1705345211909352000,send_rep_1_p_5_s_01000001011001000110000101101101,"['send', 'rep', '1', 'p', '5', 's', '01000001011001000110000101101101']",send,1,5,01000001011001000110000101101101,
